age,sex,year,pr_mean,pr_sd,obese_eff,all_eff
2-4,Female,1991,0.0455444740966326,0.011397822592264698,15,336
5-9,Female,1991,0.020052827553266,0.005554372033003352,12,596
10-14,Female,1991,0.00893695566660717,0.004291163247592103,5,571
15-17,Female,1991,0.006672032088698886,0.003625340998000145,2,233
2-4,Male,1991,0.04090297625909544,0.011705712132059733,13,321
5-9,Male,1991,0.012605001772065643,0.0029467350127528637,8,604
10-14,Male,1991,0.007190715212249183,0.0020797034285904917,4,606
15-17,Male,1991,0.00356880953486138,0.002599848482550861,1,208
2-4,Female,1997,0.050831316424225864,0.007555947687399095,40,784
5-9,Female,1997,0.022296075149482286,0.003840033960873743,25,1142
10-14,Female,1997,0.016095817501630576,0.0033155245109288507,15,940
15-17,Female,1997,0.02294612832211236,0.011401362651539303,3,118
2-4,Male,1997,0.06781704680306466,0.008579780679934996,57,841
5-9,Male,1997,0.04413563883170512,0.005334936054688186,55,1238
10-14,Male,1997,0.032405521540912446,0.0052304611095414675,30,930
15-17,Male,1997,0.029894472560588407,0.01731471777701922,3,96
2-4,Female,2004,NA,NA,0,0
5-9,Female,2004,NA,NA,0,0
10-14,Female,2004,NA,NA,0,0
15-17,Female,2004,0.03301749907585909,0.011664252608560405,7,207
2-4,Male,2004,NA,NA,0,0
5-9,Male,2004,NA,NA,0,0
10-14,Male,2004,NA,NA,0,0
15-17,Male,2004,0.05176433104450337,0.01257521960942844,14,273
2-4,Female,2009,0.04882838982795823,0.008524236071909757,25,521
5-9,Female,2009,0.06464500034248107,0.007942968377102256,57,876
10-14,Female,2009,0.042562382464720834,0.005771588086076198,42,983
15-17,Female,2009,0.042085335337789,0.011044125655700279,8,202
2-4,Male,2009,0.06794981312423214,0.00991170604956937,36,529
5-9,Male,2009,0.06491998235436842,0.007581460764170441,56,864
10-14,Male,2009,0.06694567576018935,0.0073363323243004555,66,985
15-17,Male,2009,0.05984599405546628,0.011744244944268605,14,237
2-4,Female,2014,NA,NA,0,0
5-9,Female,2014,0.08394833948339483,0.008422840286367073,91,1084
10-14,Female,2014,0.05089285714285714,0.006567259760908016,57,1120
15-17,Female,2014,0.06962025316455696,0.011690037942211032,33,474
2-4,Male,2014,NA,NA,0,0
5-9,Male,2014,0.12225405921680993,0.010123947551860316,128,1047
10-14,Male,2014,0.11268855368234251,0.009419398159744017,127,1127
15-17,Male,2014,0.08158508158508158,0.013216101439609697,35,429
