age,sex,area,region,year,count
2-4,Female,Rural,Bangkok,1990,0
5-9,Female,Rural,Bangkok,1990,0
10-14,Female,Rural,Bangkok,1990,0
15-17,Female,Rural,Bangkok,1990,0
2-4,Male,Rural,Bangkok,1990,0
5-9,Male,Rural,Bangkok,1990,0
10-14,Male,Rural,Bangkok,1990,0
15-17,Male,Rural,Bangkok,1990,0
2-4,Female,Urban,Bangkok,1990,104747
5-9,Female,Urban,Bangkok,1990,197746
10-14,Female,Urban,Bangkok,1990,239432
15-17,Female,Urban,Bangkok,1990,198675
2-4,Male,Urban,Bangkok,1990,115215
5-9,Male,Urban,Bangkok,1990,208382
10-14,Male,Urban,Bangkok,1990,252075
15-17,Male,Urban,Bangkok,1990,175713
2-4,Female,Rural,Periphery,1990,33109
5-9,Female,Rural,Periphery,1990,67508
10-14,Female,Rural,Periphery,1990,74961
15-17,Female,Rural,Periphery,1990,46868
2-4,Male,Rural,Periphery,1990,34239
5-9,Male,Rural,Periphery,1990,66168
10-14,Male,Rural,Periphery,1990,75679
15-17,Male,Rural,Periphery,1990,40081
2-4,Female,Urban,Periphery,1990,27171
5-9,Female,Urban,Periphery,1990,48912
10-14,Female,Urban,Periphery,1990,57176
15-17,Female,Urban,Periphery,1990,42617
2-4,Male,Urban,Periphery,1990,26624
5-9,Male,Urban,Periphery,1990,50588
10-14,Male,Urban,Periphery,1990,63002
15-17,Male,Urban,Periphery,1990,35109
2-4,Female,Rural,Central,1990,44718
5-9,Female,Rural,Central,1990,98324
10-14,Female,Rural,Central,1990,102624
15-17,Female,Rural,Central,1990,55755
2-4,Male,Rural,Central,1990,48913
5-9,Male,Rural,Central,1990,90897
10-14,Male,Rural,Central,1990,102174
15-17,Male,Rural,Central,1990,53668
2-4,Female,Urban,Central,1990,13654
5-9,Female,Urban,Central,1990,27841
10-14,Female,Urban,Central,1990,27245
15-17,Female,Urban,Central,1990,16596
2-4,Male,Urban,Central,1990,14126
5-9,Male,Urban,Central,1990,27012
10-14,Male,Urban,Central,1990,30798
15-17,Male,Urban,Central,1990,18283
2-4,Female,Rural,North,1990,198765
5-9,Female,Rural,North,1990,378030
10-14,Female,Rural,North,1990,408407
15-17,Female,Rural,North,1990,236018
2-4,Male,Rural,North,1990,212863
5-9,Male,Rural,North,1990,396503
10-14,Male,Rural,North,1990,432414
15-17,Male,Rural,North,1990,248279
2-4,Female,Urban,North,1990,48255
5-9,Female,Urban,North,1990,86521
10-14,Female,Urban,North,1990,100230
15-17,Female,Urban,North,1990,59282
2-4,Male,Urban,North,1990,45999
5-9,Male,Urban,North,1990,89900
10-14,Male,Urban,North,1990,97992
15-17,Male,Urban,North,1990,61489
2-4,Female,Rural,East,1990,53892
5-9,Female,Rural,East,1990,105634
10-14,Female,Rural,East,1990,118390
15-17,Female,Rural,East,1990,66361
2-4,Male,Rural,East,1990,52717
5-9,Male,Rural,East,1990,113043
10-14,Male,Rural,East,1990,120516
15-17,Male,Rural,East,1990,61413
2-4,Female,Urban,East,1990,20730
5-9,Female,Urban,East,1990,37157
10-14,Female,Urban,East,1990,43913
15-17,Female,Urban,East,1990,29343
2-4,Male,Urban,East,1990,20184
5-9,Male,Urban,East,1990,42163
