age,sex,area,region,year,all,obese
2-4,Female,Rural,Bangkok,2013,0,0
2-4,Female,Rural,Bangkok,2014,0,0
2-4,Female,Rural,Bangkok,2015,0,0
2-4,Female,Rural,Bangkok,2016,0,0
2-4,Female,Rural,Bangkok,2017,0,0
2-4,Female,Rural,Bangkok,2018,0,0
2-4,Female,Rural,Bangkok,2019,0,0
2-4,Female,Rural,Periphery,2013,7049,579
2-4,Female,Rural,Periphery,2014,6871,595
2-4,Female,Rural,Periphery,2015,6831,704
2-4,Female,Rural,Periphery,2016,7222,708
2-4,Female,Rural,Periphery,2017,7825,714
2-4,Female,Rural,Periphery,2018,7820,719
2-4,Female,Rural,Periphery,2019,7726,596
2-4,Female,Rural,Central,2013,8123,684
2-4,Female,Rural,Central,2014,7836,634
2-4,Female,Rural,Central,2015,7640,679
2-4,Female,Rural,Central,2016,7862,669
2-4,Female,Rural,Central,2017,8653,830
2-4,Female,Rural,Central,2018,8300,779
2-4,Female,Rural,Central,2019,7713,733
2-4,Female,Rural,North,2013,29277,1488
2-4,Female,Rural,North,2014,28824,1723
2-4,Female,Rural,North,2015,28590,1937
2-4,Female,Rural,North,2016,29080,1791
2-4,Female,Rural,North,2017,33766,2170
2-4,Female,Rural,North,2018,32534,2012
2-4,Female,Rural,North,2019,31006,1943
2-4,Female,Rural,East,2013,11353,649
2-4,Female,Rural,East,2014,11457,690
2-4,Female,Rural,East,2015,11050,839
2-4,Female,Rural,East,2016,11598,826
2-4,Female,Rural,East,2017,13078,937
2-4,Female,Rural,East,2018,12706,884
2-4,Female,Rural,East,2019,12075,839
2-4,Female,Rural,Northeast,2013,65522,2890
2-4,Female,Rural,Northeast,2014,65323,3111
2-4,Female,Rural,Northeast,2015,63890,3620
2-4,Female,Rural,Northeast,2016,66469,3567
2-4,Female,Rural,Northeast,2017,72421,4398
2-4,Female,Rural,Northeast,2018,69497,3918
2-4,Female,Rural,Northeast,2019,66042,4035
2-4,Female,Rural,South,2013,25395,1226
2-4,Female,Rural,South,2014,24650,1277
2-4,Female,Rural,South,2015,24081,1344
2-4,Female,Rural,South,2016,24517,1248
2-4,Female,Rural,South,2017,30730,1869
2-4,Female,Rural,South,2018,31380,1598
2-4,Female,Rural,South,2019,29165,1563
2-4,Female,Rural,West,2013,10368,599
2-4,Female,Rural,West,2014,9871,611
2-4,Female,Rural,West,2015,9804,608
2-4,Female,Rural,West,2016,10050,667
2-4,Female,Rural,West,2017,11152,897
2-4,Female,Rural,West,2018,11363,807
2-4,Female,Rural,West,2019,10619,728
2-4,Female,Urban,Bangkok,2013,1934,228
2-4,Female,Urban,Bangkok,2014,1925,210
2-4,Female,Urban,Bangkok,2015,2046,221
2-4,Female,Urban,Bangkok,2016,2197,270
2-4,Female,Urban,Bangkok,2017,2124,228
2-4,Female,Urban,Bangkok,2018,2026,187
2-4,Female,Urban,Bangkok,2019,1988,212
2-4,Female,Urban,Periphery,2013,8923,763
2-4,Female,Urban,Periphery,2014,8552,696
2-4,Female,Urban,Periphery,2015,8508,745
2-4,Female,Urban,Periphery,2016,9123,818
2-4,Female,Urban,Periphery,2017,9731,887
2-4,Female,Urban,Periphery,2018,9594,905
2-4,Female,Urban,Periphery,2019,9346,766
2-4,Female,Urban,Central,2013,6080,506
2-4,Female,Urban,Central,2014,5980,541
2-4,Female,Urban,Central,2015,5885,664
2-4,Female,Urban,Central,2016,6119,649
2-4,Female,Urban,Central,2017,6636,666
2-4,Female,Urban,Central,2018,6280,638
2-4,Female,Urban,Central,2019,5714,567
2-4,Female,Urban,North,2013,19064,1108
2-4,Female,Urban,North,2014,18294,1206
2-4,Female,Urban,North,2015,18734,1439
2-4,Female,Urban,North,2016,19015,1354
2-4,Female,Urban,North,2017,22056,1675
2-4,Female,Urban,North,2018,22136,1547
2-4,Female,Urban,North,2019,21549,1506
2-4,Female,Urban,East,2013,12042,870
2-4,Female,Urban,East,2014,12144,858
2-4,Female,Urban,East,2015,12305,867
2-4,Female,Urban,East,2016,13030,944
2-4,Female,Urban,East,2017,14519,1080
2-4,Female,Urban,East,2018,14534,1056
2-4,Female,Urban,East,2019,14158,986
2-4,Female,Urban,Northeast,2013,42033,2221
2-4,Female,Urban,Northeast,2014,41083,2260
2-4,Female,Urban,Northeast,2015,40347,2702
2-4,Female,Urban,Northeast,2016,42252,2587
2-4,Female,Urban,Northeast,2017,46723,3122
2-4,Female,Urban,Northeast,2018,45335,2909
2-4,Female,Urban,Northeast,2019,43363,2809
2-4,Female,Urban,South,2013,15991,993
2-4,Female,Urban,South,2014,15600,961
2-4,Female,Urban,South,2015,15297,1006
2-4,Female,Urban,South,2016,15892,1025
2-4,Female,Urban,South,2017,18934,1310
2-4,Female,Urban,South,2018,19122,1249
2-4,Female,Urban,South,2019,17992,1165
2-4,Female,Urban,West,2013,8906,535
2-4,Female,Urban,West,2014,8712,620
2-4,Female,Urban,West,2015,8531,639
2-4,Female,Urban,West,2016,8953,622
2-4,Female,Urban,West,2017,9686,737
2-4,Female,Urban,West,2018,9638,718
2-4,Female,Urban,West,2019,9172,660
2-4,Male,Rural,Bangkok,2013,0,0
2-4,Male,Rural,Bangkok,2014,0,0
2-4,Male,Rural,Bangkok,2015,0,0
2-4,Male,Rural,Bangkok,2016,0,0
2-4,Male,Rural,Bangkok,2017,0,0
